Cell id,Compactness,Eccentricity,Roundness,Convexity,Solidity,Sphericity
552.0,0.6232297992925996,0.7894736842105263,0.6232297992925996,1.0,0.9703961689159774,0.719943723854331
553.0,0.6129804225408062,0.48355899419729204,0.6129804225408062,1.0,0.9391666666666667,0.39223227027636803
554.0,0.5926847251564077,0.5932203389830508,0.5926847251564077,1.0,0.9635467980295567,0.4779864033186187
555.0,0.516684506052583,0.6208718626155878,0.5254789780386835,0.9915966386554622,0.8992277992277993,0.46300166988715036
556.0,0.5771475338458262,0.9382716049382716,0.5771475338458262,1.0,0.8827772768259693,0.5224377249688121
557.0,0.5671023005030922,0.8306709265175719,0.5671023005030922,1.0,0.9466095089633672,0.6544392761809544
558.0,0.5788081703042419,0.47863247863247865,0.5788081703042419,1.0,0.9427121102248006,0.4111700055702786
559.0,0.4716916561726662,0.43363994743758216,0.4716916561726662,1.0,0.9450247388675096,0.3664946581502284
560.0,0.5869109805733871,0.6521739130434783,0.5869109805733871,1.0,0.9353197674418605,0.4250127505737787
561.0,0.563155545842461,0.6514657980456027,0.563155545842461,1.0,0.9137677609015189,0.4985908849388344
562.0,0.503195168379338,0.6382978723404256,0.49774051848581197,1.005464480874317,0.8863185723727693,0.4462497719754704
563.0,0.5253695795741563,0.6959152798789713,0.5354242717546686,0.9905660377358491,0.896469465648855,0.3862160813477717
